Company Code,MPD_AUG_2021,MPD_JUL_2021,MPD_JUN_2021,MPD_MAY_2021,MPD_APR_2021,MPD_MAR_2021,MPD_FEB_2021,MPD_JAN_2021,Average_Payment_Days,"('total_counts', '0')","('total_counts', '1-30')","('total_counts', '31-60')","('total_counts', '61-90')","('total_counts', '90+')",Risk
1001,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,8,2,1,1,0,0,0
1001,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0
1001,0,0,0,0,0,19,0,0,16,1,4,0,0,0,0
1001,0,0,0,0,0,9,0,0,0,65,7,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,36,6,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
1001,0,0,0,0,0,335,0,0,335,0,0,0,0,1,1
1001,0,0,0,0,0,0,0,0,0,17,1,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
1001,0,0,0,0,0,45,92,0,40,17,9,18,19,7,1
1001,0,0,0,0,0,20,0,0,25,6,2,3,1,2,1
1001,0,0,0,0,0,102,0,0,25,8,0,0,0,2,1
1001,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
1001,0,0,0,0,0,31,0,45,19,6,1,1,1,0,1
1001,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1001,0,0,0,0,0,15,0,0,1,25,0,1,0,0,0
1001,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0
1001,0,0,0,0,0,0,0,9,1,8,3,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0
1001,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0
1001,0,0,0,0,0,0,34,0,7,7,1,1,0,0,0
1001,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0
1001,0,0,0,0,0,0,0,0,27,5,0,0,0,1,1
1001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,13,2,1,2,0,0,0
1001,0,0,0,0,0,19,42,0,6,211,38,68,5,0,1
1001,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,26,1,0,0,0,0
1001,0,0,0,0,0,31,0,0,11,10,2,3,1,0,1
1001,0,0,0,0,0,0,0,0,0,66,7,0,0,0,0
1001,0,0,0,0,0,0,2,0,0,10,1,0,0,0,0
1001,0,0,0,0,0,0,0,18,8,3,2,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1001,0,0,0,0,0,15,0,0,1,16,1,0,0,0,0
1001,0,0,0,0,0,0,0,6,1,5,1,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0
1001,0,0,0,0,0,0,5,0,2,2,1,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,157,9,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,49,3,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
1001,0,0,0,0,0,10,0,0,5,2,1,0,0,0,0
1001,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,54,4,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0
1001,0,0,0,0,0,43,0,0,28,2,3,8,0,0,0
1001,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1001,0,0,0,0,0,0,0,8,3,23,6,2,0,0,0
1001,0,0,0,0,0,4,0,0,12,11,5,0,1,0,1
1001,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0
1001,0,0,0,0,0,0,0,3,0,26,1,0,0,0,0
1001,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0
1001,0,0,0,0,0,15,0,0,4,3,4,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
1001,0,0,0,0,0,2,0,0,0,17,7,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0
1001,0,0,0,0,0,124,0,0,62,2,0,0,0,1,1
1001,0,0,0,0,0,0,0,0,3,45,0,0,1,1,1
1001,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,25,1,1,2,0,0,0
1001,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,7,5,1,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,8,4,2,0,0,0,0
1001,0,0,0,0,0,0,0,2,0,25,10,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1001,0,0,0,0,0,0,1,0,0,7,1,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1001,0,0,0,0,0,0,24,0,3,8,2,4,1,0,1
1001,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0
1001,0,0,0,0,0,0,0,0,20,4,0,0,0,1,1
1001,0,0,0,0,0,26,0,3,10,11,19,7,0,0,0
1001,0,0,0,0,0,0,0,0,0,87,6,1,0,0,0
1001,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
